Deposit Date,1st receipt#,last receipt#, total deposit ,# receipts,VOID,Number of Visitors,Inspection Stops,Inspection Requests
8/7/2012,241484,241525,"$12,560.64 ",42,,48,,
8/8/2012,241526,241564,"$29,257.84 ",39,,27,,
8/9/2012,241565,241588,"$56,367.74 ",24,,25,,
8/10/2012,241589,241604,"$8,147.01 ",16,,23,,
8/13/2012,241605,241633,"$46,891.25 ",29,,39,,
8/14/2012,241634,241658,"$26,158.08 ",25,,34,,
8/15/2012,241659,241677,"$27,733.17 ",19,,31,,
8/16/2012,241678,241721,"$39,967.58 ",44,,48,,
8/17/2012,241722,241746,"$11,722.66 ",25,,18,,
8/20/2012,241747,241782,"$221,362.77 ",36,,36,,
8/21/2012,241783,241815,"$9,647.01 ",33,,30,,
8/22/2012,241816,241834,"$15,879.98 ",19,,35,,
8/23/2012,241835,241850,"$13,954.13 ",16,,26,,
8/24/2012,241851,241869,"$11,444.28 ",19,,24,,
8/27/2012,241870,241897,"$7,635.67 ",28,,47,,
8/28/2012,241898,241927,"$22,808.57 ",30,,43,,
8/29/2012,241928,241950,"$10,793.05 ",23,,19,,
8/30/2012,241951,241992,"$109,205.37 ",42,,43,,
8/31/2012,241993,242026,"$19,830.83 ",34,,36,,
9/4/2012,242027,242056,"$10,300.11 ",30,,26,,
9/5/2012,242057,242087,"$19,448.60 ",31,,52,,
9/6/2012,242088,242124,"$16,611.58 ",37,,38,,
9/7/2012,242125,242128,"$222,706.53 ",4,,CLOSED,,
9/10/2012,242129,242166,"$33,168.79 ",38,,66,,
9/11/2012,242167,242205,"$19,940.29 ",39,,43,,
9/12/2012,242206,242249,"$50,939.82 ",44,,38,,
9/13/2012,242250,242283,"$26,511.38 ",34,,54,,
9/14/2012,242284,242286,"$2,295.47 ",3,,CLOSED,,
9/17/2012,242287,242314,"$27,481.84 ",28,,56,,
9/18/2012,242315,242354,"$16,892.94 ",40,,36,,
9/19/2012,242355,242370,"$11,797.47 ",16,,23,,
9/20/2012,242371,242392,"$7,426.73 ",22,,47,,
9/21/2012,242393,242399,$735.00 ,7,,CLOSED,,
9/24/2012,242400,242424,"$33,178.54 ",25,,52,,
9/25/2012,242425,242450,"$18,761.83 ",26,,42,,
9/26/2012,242451,242487,"$32,347.85 ",37,,33,,
9/27/2012,242488,242517,"$29,734.67 ",30,,31,,
9/28/2012,242518,242518,$240.34 ,1,,CLOSED,,
10/1/2012,242519,242547,"$11,635.04 ",29,,40,,
10/2/2012,242548,242585,"$25,393.75 ",38,,27,,
10/3/2012,242586,242617,"$23,256.89 ",32,,43,,
10/4/2012,242618,242649,"$24,370.29 ",32,,37,,
10/5/2012,242650,242650,,1,,CLOSED,,
10/8/2012,242650,242684,"$26,252.44 ",35,,45,,
10/9/2012,242685,242714,"$21,514.94 ",30,,42,,
10/10/2012,242715,242749,"$30,394.75 ",35,,37,,
10/11/2012,242750,242791,"$36,266.11 ",42,,43,,
10/12/2012,242792,242797,,6,,CLOSED,,
10/15/2012,242798,242829,"$16,938.67 ",32,,46,,
10/16/2012,242830,242864,"$42,648.03 ",35,,39,,
10/17/2012,242865,242896,"$24,803.28 ",32,,40,,
10/18/2012,242897,242918,"$18,846.45 ",22,,39,,
10/19/2012,242919,242921,,3,,CLOSED,,
10/22/2012,242922,242950,"$29,042.24 ",29,,35,,
10/23/2012,242951,242984,,34,,44,,
10/24/2012,242985,243005,,21,,40,,
10/25/2012,243006,243032,,27,,37,,
10/26/2012,243033,243033,,1,,CLOSED,,
10/29/2012,243034,243055,,22,,52,,
10/30/2012,243056,243085,,30,,36,,
10/31/2012,243086,243119,,34,,16,,
11/1/2012,243120,243152,,33,,32,,
11/2/2012,243153,243164,,12,,CLOSED,,
11/5/2012,243165,243190,,26,,43,,
11/6/2012,243191,243223,,33,,36,,
11/7/2012,243224,243248,,25,,36,,
11/8/2012,243249,243274,,26,,27,,
11/9/2012,243275,243278,,4,,CLOSED,,
11/12/2012,,,,1,,CLOSED,,
11/13/2012,243279,243306,,28,,40,,
11/14/2012,243307,243340,"$38,790.47 ",34,,32,,
11/15/2012,243341,243366,"$12,990.38 ",26,,35,,
11/16/2012,243367,243369,"$79,329.11 ",3,,CLOSED,,
11/19/2012,243370,243409,"$75,597.32 ",40,,58,,
11/20/2012,243410,243438,"$28,405.08 ",29,,33,,
11/21/2012,243439,243457,"$18,007.66 ",19,,37,,
11/22/2012,,,,1,,CLOSED,,
11/23/2012,,,,1,,CLOSED,,
11/26/2012,243458,243487,"$22,015.75 ",30,,33,,
11/27/2012,243488,243507,"$11,506.96 ",20,,28,,
11/28/2012,243508,243530,"$20,732.22 ",23,,33,,
11/29/2012,243531,243556,"$2,809,368.92 ",26,,30,,
11/30/2012,243557,243564,"$7,888.09 ",8,,CLOSED,,
12/3/2012,243565,243600,"$56,301.69 ",36,,42,,
12/4/2012,243601,243628,"$30,868.71 ",28,,39,,
12/5/2012,243629,243649,"$34,385.21 ",21,,26,,
12/6/2012,243650,243673,"$13,748.56 ",24,,35,,
12/7/2012,243674,243675,"$11,947.97 ",2,,CLOSED,,
12/10/2012,243679,243704,"$34,795.48 ",26,,57,,
12/11/2012,243705,243729,"$12,091.42 ",25,,31,,
12/12/2012,243730,243776,"$14,299.57 ",47,,20,,
12/13/2012,243778,243801,"$13,113.24 ",24,,40,,
12/14/2012,243802,243802,$356.31 ,1,,CLOSED,,
12/17/2012,243803,243835,"$23,842.85 ",33,,43,,
12/18/2012,243836,243856,"$47,020.21 ",21,,36,,
12/19/2012,243857,243876,"$28,190.05 ",20,,33,,
12/20/2012,243877,243902,"$36,666.82 ",26,,43,,
12/21/2012,243903,243904,"$22,380.00 ",2,,CLOSED,,
1/2/2013,243905,243950,"$38,988.34 ",46,,55,,
1/3/2013,243951,243988,"$36,864.96 ",38,,51,,
1/4/2013,,,,1,,CLOSED,,
1/7/2013,243989,244024,"$33,147.69 ",36,,60,,
1/8/2013,244025,244047,"$46,845.03 ",23,,34,,
1/9/2013,244048,244070,"$25,919.52 ",23,,43,,
1/10/2013,244071,244098,"$24,214.24 ",28,,56,,
1/11/2013,244099,244106,$548.18 ,8,,CLOSED,,
1/14/2013,244107,244137,"$17,073.60 ",31,,49,,
1/15/2013,244138,244168,"$14,141.23 ",31,,40,,
1/16/2013,244169,244204,"$50,729.96 ",36,,48,,
1/17/2013,244205,244233,"$92,408.64 ",29,,42,,
1/18/2013,244234,244236,"$2,073.42 ",3,,CLOSED,,
1/21/2013,,,,1,,Holiday,,
1/22/2013,244237,244270,"$30,307.02 ",34,,52,,
1/23/2013,244271,244291,,21,,40,,
1/24/2013,244292,244311,"$8,845.01 ",20,,26,,
1/25/2013,,, $-   ,1,,CLOSED,,
1/28/2013,11/24/2568,244337,"$59,198.00 ",26,,42,,
1/29/2013,244338,244369,"$20,414.96 ",32,,35,,
1/30/2013,244370,244392,"$18,655.11 ",23,,47,,
1/31/2013,244393,244415,"$24,571.84 ",23,,41,,
2/1/2013,244416,244416,"$1,755.00 ",1,,CLOSED,,
2/4/2013,244417,244439,"$15,055.10 ",23,,38,,
2/5/2013,244440,244469,"$81,263.12 ",30,,51,,
2/6/2013,238829,238849,"$22,348.04 ",21,,33,,
2/7/2013,244496,244531,"$25,606.19 ",36,,42,,
2/8/2013,244532,244534,$523.88 ,3,,CLOSED,,
2/11/2013,244535,244563,"$30,224.46 ",29,,48,,
2/12/2013,244564,244584,"$18,256.24 ",21,,41,,
2/13/2013,244585,244600,"$15,429.60 ",16,,23,,
2/14/2013,244601,244601,"$11,584.52 ",1,,46,,
2/15/2013,,,,1,,CLOSED,,
2/18/2013,,,,1,,Holiday,,
2/19/2013,244621,244621,"$18,035.43 ",1,,60,,
2/20/2013,244646,244684,"$38,319.15 ",39,,48,,
2/21/2013,244685,244715,"$15,423.14 ",31,,57,,
2/22/2013,244716,244716,"$3,102.90 ",1,,CLOSED,,
2/25/2013,244718,244751,"$30,929.34 ",34,,53,,
2/26/2013,244752,244776,"$15,482.12 ",25,,46,,
2/27/2013,244777,244790,"$5,977.39 ",14,,33,,
2/28/2013,244791,244822,"$23,131.23 ",32,,41,,
3/1/2013,244823,244827,"$17,387.40 ",5,,CLOSED,,
3/4/2013,244828,244851,"$136,140.92 ",24,,48,,
3/5/2013,244852,244895,"$144,087.89 ",44,,49,,
3/6/2013,244896,244913,"$20,042.80 ",18,,31,,
3/7/2013,244914,244939,"$21,835.08 ",26,,46,,
3/8/2013,244940,244941,"$46,900.00 ",2,,CLOSED,,
3/11/2013,244942,244968,"$15,777.51 ",27,,66,,
3/12/2013,244969,244999,"$36,405.21 ",31,,41,,
3/13/2013,245000,245021,"$219,097.14 ",22,,32,,
3/14/2013,245022,245046,"$39,988.94 ",25,,45,,
3/15/2013,245047,245051,$758.15 ,5,,CLOSED,,
3/18/2013,245052,245075,"$29,574.09 ",24,,47,,
3/19/2013,245076,245097,"$10,134.38 ",22,,32,,
3/20/2013,245098,245113,"$11,298.63 ",16,,38,,
3/21/2013,245114,245137,"$18,155.24 ",24,,33,,
3/22/2013,245138,245144,"$1,499.07 ",7,,CLOSED,,
3/25/2013,245145,245166,"$16,927.40 ",22,,48,,
3/26/2013,245167,245195,"$25,525.82 ",29,,44,,
3/27/2013,245197,245219,"$8,784.92 ",23,,47,,
3/28/2013,239551,239569,"$51,202.64 ",19,,49,,
3/29/2013,245248,245249,$109.18 ,2,,CLOSED,,
4/1/2013,245250,245280,"$23,277.36 ",31,,48,,
4/2/2013,245281,245307,"$51,666.34 ",27,,43,,
4/3/2013,245308,245333,"$42,666.52 ",26,,41,,
4/4/2013,245334,245369,"$27,884.04 ",36,,49,,
4/5/2013,245370,245374,"$20,567.22 ",5,,CLOSED,,
4/8/2013,245375,245416,"$35,219.50 ",42,,65,,
4/9/2013,245417,245445,"$53,449.73 ",29,,42,,
4/10/2013,245446,245461,"$19,408.55 ",16,,32,,
4/11/2013,245462,245490,"$31,623.31 ",29,,56,,
4/12/2013,245491,245498,"$10,215.40 ",8,,CLOSED,,
4/15/2013,245499,245527,"$19,106.81 ",29,,60,,
4/16/2013,245528,245556,"$17,529.69 ",29,,36,,
4/17/2013,245446,245461,"$24,519.37 ",16,,40,,
4/18/2013,245586,245613,"$31,305.38 ",28,,45,,
4/19/2013,245614,245617,"$5,688.92 ",4,,CLOSED,,
4/22/2013,245618,245644,"$16,117.56 ",27,,44,,
4/23/2013,245645,245674,"$62,750.06 ",30,,49,,
4/24/2013,245675,245692,"$22,876.89 ",18,,38,,
4/25/2013,245693,245715,"$257,167.93 ",23,,47,,
4/26/2013,245716,245718,"$1,888.48 ",3,,CLOSED,,
4/29/2013,245719,245750,"$18,676.28 ",32,,43,,
4/30/2013,245751,245773,"$27,609.81 ",23,,49,,
5/1/2013,245774,245805,"$25,388.97 ",32,,49,,
5/2/2013,245806,245842,"$47,049.43 ",37,,55,,
5/3/2013,245843,245844,"$1,027.28 ",2,,CLOSED ,,
5/6/2013,245845,245885,"$23,672.33 ",41,,80,,
5/7/2013,245886,245913,"$191,433.48 ",28,,55,,
5/8/2013,245915,245938,"$28,292.71 ",24,,53,,
